"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",3773.83511159766
"2","member","Friday",824.530506415778
"3","casual","Monday",3372.28692301735
"4","member","Monday",842.572569441503
"5","casual","Saturday",3331.91384107319
"6","member","Saturday",968.933722973489
"7","casual","Sunday",3581.40538796313
"8","member","Sunday",919.974616087922
"9","casual","Thursday",3682.98467067268
"10","member","Thursday",823.92780326203
"11","casual","Tuesday",3596.35994917689
"12","member","Tuesday",826.142747003117
"13","casual","Wednesday",3718.66189688179
"14","member","Wednesday",823.999644234094
